,Run,Deletion,Rho0,Rho1,Rho2,Rho3
513,85,3,0,0,3,3
514,85,4,1,1,2,2
515,85,5,1,1,1,1
516,86,0,0,3,3,6
517,86,1,0,3,3,5
518,86,2,0,1,3,4
519,86,3,1,2,2,3
520,86,4,1,2,2,2
521,86,5,1,1,1,1
522,87,0,0,3,3,6
523,87,1,0,3,3,5
524,87,2,0,4,2,4
525,87,3,0,2,2,3
526,87,4,1,1,1,2
527,87,5,1,1,1,1
528,88,0,0,3,3,6
529,88,1,0,3,3,5
530,88,2,0,3,3,4
531,88,3,0,2,2,3
532,88,4,1,1,1,2
533,88,5,1,1,1,1
534,89,0,0,3,3,6
535,89,1,0,3,3,5
536,89,2,1,3,3,4
537,89,3,1,2,2,3
538,89,4,1,1,1,2
539,89,5,1,1,1,1
540,90,0,0,3,3,6
541,90,1,0,3,3,5
542,90,2,0,3,3,4
543,90,3,1,2,3,3
544,90,4,1,2,2,2
545,90,5,1,1,1,1
546,91,0,0,3,3,6
547,91,1,0,3,3,5
548,91,2,0,3,3,4
549,91,3,1,2,3,3
550,91,4,1,2,2,2
551,91,5,1,1,1,1
552,92,0,0,3,3,6
553,92,1,0,3,3,5
554,92,2,0,1,3,4
555,92,3,0,2,2,3
556,92,4,1,1,2,2
557,92,5,1,1,1,1
558,93,0,0,3,3,6
559,93,1,0,3,3,5
560,93,2,0,1,3,4
561,93,3,0,2,2,3
562,93,4,1,2,2,2
563,93,5,1,1,1,1
564,94,0,0,3,3,6
565,94,1,0,3,3,5
566,94,2,0,1,3,4
567,94,3,1,2,3,3
568,94,4,1,1,2,2
569,94,5,1,1,1,1
570,95,0,0,3,3,6
571,95,1,0,3,3,5
572,95,2,1,3,3,4
573,95,3,1,2,2,3
574,95,4,1,1,1,2
575,95,5,1,1,1,1
576,96,0,0,3,3,6
577,96,1,0,3,3,5
578,96,2,0,1,3,4
579,96,3,1,2,3,3
580,96,4,1,1,2,2
581,96,5,1,1,1,1
582,97,0,0,3,3,6
583,97,1,0,3,3,5
584,97,2,1,3,3,4
585,97,3,1,2,2,3
586,97,4,1,2,2,2
587,97,5,1,1,1,1
588,98,0,0,3,3,6
589,98,1,0,3,3,5
590,98,2,0,1,3,4
591,98,3,1,2,2,3
592,98,4,1,1,1,2
593,98,5,1,1,1,1
594,99,0,0,3,3,6
595,99,1,0,3,3,5
596,99,2,0,1,3,4
597,99,3,1,2,2,3
598,99,4,1,1,1,2
599,99,5,1,1,1,1
600,100,0,0,3,3,6
601,100,1,0,3,3,5
602,100,2,1,3,3,4
603,100,3,1,2,3,3
604,100,4,1,1,2,2
605,100,5,1,1,1,1
606,101,0,0,3,3,6
607,101,1,0,3,3,5
608,101,2,0,1,3,4
609,101,3,0,2,2,3
610,101,4,1,1,1,2
611,101,5,1,1,1,1
612,102,0,0,3,3,6
613,102,1,0,3,3,5
614,102,2,0,3,3,4
615,102,3,1,2,3,3
616,102,4,1,2,2,2
617,102,5,1,1,1,1
618,103,0,0,3,3,6
619,103,1,0,3,3,5
620,103,2,0,1,3,4
621,103,3,1,2,3,3
622,103,4,1,2,2,2
623,103,5,1,1,1,1
624,104,0,0,3,3,6
625,104,1,0,3,3,5
626,104,2,0,1,3,4
627,104,3,0,2,2,3
628,104,4,1,2,2,2
629,104,5,1,1,1,1
630,105,0,0,3,3,6
631,105,1,0,3,3,5
632,105,2,0,3,3,4
633,105,3,1,2,3,3
634,105,4,1,1,2,2
635,105,5,1,1,1,1
636,106,0,0,3,3,6
637,106,1,0,3,3,5
638,106,2,0,4,2,4
639,106,3,0,2,2,3
640,106,4,1,1,1,2
641,106,5,1,1,1,1
642,107,0,0,3,3,6
643,107,1,0,3,3,5
644,107,2,0,1,3,4
645,107,3,0,2,2,3
646,107,4,1,2,2,2
647,107,5,1,1,1,1
648,108,0,0,3,3,6
649,108,1,0,3,3,5
650,108,2,1,3,3,4
651,108,3,1,2,2,3
652,108,4,1,2,2,2
653,108,5,1,1,1,1
654,109,0,0,3,3,6
655,109,1,0,3,3,5
656,109,2,1,3,3,4
657,109,3,1,2,2,3
658,109,4,1,1,2,2
659,109,5,1,1,1,1
660,110,0,0,3,3,6
661,110,1,0,3,3,5
662,110,2,0,1,3,4
663,110,3,1,2,2,3
664,110,4,1,2,2,2
665,110,5,1,1,1,1
666,111,0,0,3,3,6
667,111,1,0,3,3,5
668,111,2,0,1,3,4
669,111,3,0,0,3,3
670,111,4,1,1,2,2
671,111,5,1,1,1,1
672,112,0,0,3,3,6
673,112,1,0,3,3,5
674,112,2,0,1,3,4
675,112,3,0,0,3,3
676,112,4,1,1,2,2
677,112,5,1,1,1,1
678,113,0,0,3,3,6
679,113,1,0,3,3,5
680,113,2,0,1,3,4
681,113,3,1,2,3,3
682,113,4,1,2,2,2
683,113,5,1,1,1,1
684,114,0,0,3,3,6
685,114,1,0,3,3,5
686,114,2,0,4,2,4
687,114,3,1,2,2,3
688,114,4,1,1,1,2
689,114,5,1,1,1,1
690,115,0,0,3,3,6
691,115,1,0,3,3,5
692,115,2,1,3,3,4
693,115,3,1,2,3,3
694,115,4,1,2,2,2
695,115,5,1,1,1,1
696,116,0,0,3,3,6
697,116,1,0,3,3,5
698,116,2,0,4,2,4
699,116,3,1,2,2,3
700,116,4,1,1,2,2
701,116,5,1,1,1,1
702,117,0,0,3,3,6
703,117,1,0,3,3,5
704,117,2,0,3,3,4
705,117,3,1,2,3,3
706,117,4,1,2,2,2
707,117,5,1,1,1,1
708,118,0,0,3,3,6
709,118,1,0,3,3,5
710,118,2,0,3,3,4
711,118,3,0,2,2,3
712,118,4,1,1,1,2
713,118,5,1,1,1,1
714,119,0,0,3,3,6
715,119,1,0,3,3,5
716,119,2,0,1,3,4
717,119,3,0,2,2,3
718,119,4,1,1,2,2
719,119,5,1,1,1,1
720,120,0,0,3,3,6
721,120,1,0,3,3,5
722,120,2,0,3,3,4
723,120,3,0,2,2,3
724,120,4,1,2,2,2
725,120,5,1,1,1,1
726,121,0,0,3,3,6
727,121,1,0,3,3,5
728,121,2,0,1,3,4
729,121,3,1,2,3,3
730,121,4,1,2,2,2
731,121,5,1,1,1,1
732,122,0,0,3,3,6
733,122,1,0,3,3,5
734,122,2,1,3,3,4
735,122,3,1,2,2,3
736,122,4,1,1,1,2
737,122,5,1,1,1,1
738,123,0,0,3,3,6
739,123,1,0,3,3,5
740,123,2,0,1,3,4
741,123,3,0,2,2,3
742,123,4,1,1,2,2
743,123,5,1,1,1,1
744,124,0,0,3,3,6
745,124,1,0,3,3,5
746,124,2,0,1,3,4
747,124,3,0,0,3,3
748,124,4,1,1,2,2
749,124,5,1,1,1,1
750,125,0,0,3,3,6
751,125,1,0,3,3,5
752,125,2,1,3,3,4
753,125,3,1,2,2,3
754,125,4,1,1,1,2
755,125,5,1,1,1,1
756,126,0,0,3,3,6
757,126,1,0,3,3,5
758,126,2,1,3,3,4
759,126,3,1,2,2,3
760,126,4,1,1,2,2
761,126,5,1,1,1,1
762,127,0,0,3,3,6
763,127,1,0,3,3,5
764,127,2,1,3,3,4
765,127,3,1,2,3,3
766,127,4,1,2,2,2
767,127,5,1,1,1,1
768,128,0,0,3,3,6
769,128,1,0,3,3,5
770,128,2,0,4,2,4
771,128,3,0,2,2,3
772,128,4,1,2,2,2
773,128,5,1,1,1,1
774,129,0,0,3,3,6
775,129,1,0,3,3,5
776,129,2,1,3,3,4
777,129,3,1,2,3,3
778,129,4,1,2,2,2
779,129,5,1,1,1,1
780,130,0,0,3,3,6
781,130,1,0,3,3,5
782,130,2,0,4,2,4
783,130,3,0,2,2,3
